5,S,1
0.1,S,2
0.1,S,3
2,S,4
0.1,S,2
0.1,S,0
2,S,1
0.2,S,1
1,S,3
0.2,S,3
1,S,2
0.2,S,2
3.5,M,1
0.5,M,3
1.5,S,1
0.2,S,0
0.2,S,1
1.5,S,3
0.2,S,4
0.2,S,3
2,S,3
0.2,S,2
0.2,S,1
0.2,S,2
0.2,S,3
0.2,S,2
0.2,S,1
3,M,2
1.5,S,1
0.2,S,2
0.2,S,3
3,M,3
0.5,M,2
0.5,M,1
2,L,2
10,S,1
0.2,S,1
0.2,S,1
0.2,S,1
0.2,S,1
1,S,3
0.2,S,3
0.2,S,3
0.2,S,3
0.2,S,3
3,M,0
0.5,M,4
0.5,M,2
1,S,1
0.2,S,3
0.2,S,1
0.2,S,3
0.2,S,1
1,S,3
0.2,S,1
0.2,S,3
0.2,S,1
0.2,S,3
1,S,0
0.2,S,4
0.2,S,0
0.2,S,4
0.2,S,0
0.2,S,4
3,M,0
0.5,M,1
0.5,M,2
0.5,M,3
0.5,M,4
3,L,1
5,L,3
10,S,0
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
0.4,S,3
0.4,S,2
0.4,S,1
0.4,S,0
0.4,S,1
0.4,S,2
0.4,S,3
0.4,S,4
0.4,S,3
0.4,S,2
0.4,S,1
0.4,S,0
5,B,2
